,Station_Name,ioc_code,gloss_id,latitude,longitude,Country,connection,contacts,dcp_id,last_observation_level,last_observation_time,delay,interval,added_to_system,observations_arrived_per_week,observations_expected_per_week,observations_ratio_per_week,observations_arrived_per_month,observations_expected_per_month,observations_ratio_per_month,observations_ratio_per_day,sample_interval,average_delay_per_day,transmit_interval,ioc_id,nws_id,state,status,removed,nos_id,coops_id,PLATFORM_CODE,INSTITUTION,INSTITUTION_EDMO_CODE,cmems_id,Unnamed: 0,EP_PLATFORM_ID,EP_PLATFORM_TYPE,EP_PLATFORM_LINK,TIME_QC (1),SLEV_QC (1),SLEV_DM,site_code,platform_code,platform_name,pi_name,area,author,source,contributor_name,contributor_url,data_assembly_center,institution_edmo_code,institution_references,institution,wmo_platform_code,emodnet_id,filename,contributor_abbreviated,contributor_full,contributor_website,contributor_contact,orginator,originator_website,originator_contact,coordinate_system,start_date_time,end_date_time,number_of_years,time_zone_hours,datum_information,instrument,precision,null_value,gauge_type,overall_record_quality,gesla3_id,seaset_id
1114,Base_Prat,,,-62.483,-59.633,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730A,,,,,,,,,,,,,,,base_prat-730a-chl-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Servicio Hidrografico y Oceanografico de la Armada (SHOA)  CHL ,Unspecified,Unspecified,Unspecified,1984-03-08 00:00:00,2002-12-31 23:00:00,19.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Base_Prat,1114
4,Dallmann,,,-62.233,-58.683,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682C,,,,,,,,,,,,,,,dallmann-682c-arg-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Alfred Wegener Institute  Germany ,Unspecified,Unspecified,Unspecified,1998-01-24 17:00:00,1999-04-16 15:00:00,2.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Dallmann,4
3943,Diego_Ramirez_Island,,,-56.5083,-68.715,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9952000,,,,,,,,,,,,,,,diego_ramirez_island-9952000-usa-noaa,NOAA,National Oceanic and Atmospheric Administration,https://api.tidesandcurrents.noaa.gov/api/prod/,co-ops.userservices@noaa.gov,National Oceanic and Atmospheric Administration,https://api.tidesandcurrents.noaa.gov/api/prod/,co-ops.userservices@noaa.gov,Unspecified,1993-01-01 01:00:00,1994-09-18 11:00:00,2.0,0.0,Station Datum,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Diego_Ramirez_Island,3943
1120,Puerto_Williams,,,-54.933,-67.617,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287A,,,,,,,,,,,,,,,puerto_williams-287a-chl-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Servicio Hidrografico y Oceanografico de la Armada (SHOA)  CHL ,Unspecified,Unspecified,Unspecified,1985-01-01 04:00:00,1998-12-31 23:00:00,14.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Puerto_Williams,1120
143,Ushuaia,ushu,181,-54.817,-68.217,Argentina,SEPO40,Armada Argentina Servicio de Hidrografía Naval ( Argentina ) +University of Hawaii Sea Level Center ( USA ),334CE50A,5.55,10:19,9',15',2010-03-23 20:09:00,2010,2016.0,100.0,8278,8352.0,99.0,100.0,5',4',15',Ushuaia,,,,,,,,,,,,,,,,,,600A,,,,,,,,,,,,,,,ushuaia-600a-arg-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, 1999\u2013present  University of Hawaii Sea Level Center (UHSLC)  USA; origination\u20131998  National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,Unspecified,1996-01-01 01:00:00,2018-12-31 23:00:00,20.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Ushuaia,143
77,Macquarie_Is,,,-54.483,158.967,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680C,,,,,,,,,,,,,,,macquarie_is-680c-aus-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia ,Unspecified,Unspecified,Unspecified,1993-12-28 04:00:00,2007-01-31 02:00:00,15.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Macquarie_Is,77
1898,King_Edward_Point,,,-54.2833,-36.4968,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIN,,,,,,,,,,,,,,,king_edward_point-kin-gbr-noc,NOC,National Oceanography Centre,https://noc.ac.uk,anhi@noc.ac.uk,National Oceanography Centre,https://noc.ac.uk,anhi@noc.ac.uk,Geodetic,2008-01-01 00:00:00,2017-12-31 23:45:00,10.0,0.0,Unspecified Common Datum ,Pressure,0.001 (m),-99.9999,Coastal,No obvious issues,King_Edward_Point,1898
1222,Punta Arenas CL,ptar,,-53.124,-70.862,Chile,SXCH40,Servicio Hidrográfico y Oceanográfico de la Armada ( Chile ) +Servicio Hidrográfico y Oceanográfico de la Armada ( Chile ),ADC06D0A,4.75,10:24,4',5',2011-07-27 13:49:45,9785,10080.0,97.0,39600,41760.0,95.0,98.0,1',4',5',Punta Arenas CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222
1187,Caleta Meteoro CL,cmet,,-52.96,-74.066,Chile,SXCH40,Servicio Hidrográfico y Oceanográfico de la Armada ( Chile ) +Servicio Hidrográfico y Oceanográfico de la Armada ( Chile ),140204F8,1.3,10:14,14',15',2011-10-18 17:17:15,9195,10080.0,91.0,40650,41760.0,97.0,98.0,1',4',15',Caleta Meteoro CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1187
1181,Bahia Gregorio CL,greg,,-52.648,-70.209,Chile,SXCH40,Servicio Hidrográfico y Oceanográfico de la Armada ( Chile ),ADC1B74A,7.04,10:23,5',5',2014-06-25 21:28:34,9825,10080.0,97.0,40685,41760.0,97.0,98.0,1',4',5',Bahia Gregorio CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181
1915,Port_Stanley,,,-51.75,-57.933,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290B,,,,,,,,,,,,,,,port_stanley-290b-gbr-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Oceanography Centre (NOC)  United Kingdom ,Unspecified,Unspecified,Unspecified,1992-10-28 16:00:00,2014-01-31 23:00:00,23.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Port_Stanley,1915
1220,Puerto Natales CL,pnat,,-51.729,-72.516,Chile,SXCH40,Servicio Hidrográfico y Oceanográfico de la Armada ( Chile ),ADC04534,3.73,10:21,7',5',2022-09-26 20:04:08,9495,10080.0,94.0,33580,41760.0,80.0,92.0,1',3',5',Puerto Natales CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220
1633,Kerguelen,,,-49.35212,70.2191,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,KerguelenTG,SHOM  Service Hydrographique et Oceanographique de la Marine,540,Kerguelen,,,,,,,,180A,,,,,,,,,,,,,,,kerguelen-180a-fra-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Service d'Observation ROSAME  Laboratoire d'Etudes en Geophysique et Oceanographie Spatiales (LEGOS)  Observatoire Midi-Pyrenees (OMP)  France ,Unspecified,Unspecified,Unspecified,1993-04-05 11:00:00,2012-12-31 23:00:00,20.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Kerguelen,1633
1805,Kerguelen Island,kerg,23,-49.345,70.22,France,ftp,Laboratoire d'Etudes en Géophysique et Océanographie Spatiales ( France ),FR023,1.62,04:00,6h,4h,2008-03-29 00:00:00,168,168.0,100.0,696,696.0,100.0,100.0,60',210',4h,Kerguelen Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1805
1217,Puerto Eden CL,pedn,,-49.13,-74.409,Chile,SXCH40,Servicio Hidrográfico y Oceanográfico de la Armada ( Chile ) +Servicio Hidrográfico y Oceanográfico de la Armada ( Chile ),ADC03D76,4.2,10:23,5',5',2011-10-18 17:04:52,9113,10080.0,90.0,37065,41760.0,89.0,95.0,1',4',5',Puerto Eden CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1217
7,Puerto_Deseado,,,-47.753,-65.915,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286B,,,,,,,,,,,,,,,puerto_deseado-286b-arg-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,Unspecified,Unspecified,Unspecified,2010-03-17 02:00:00,2018-12-31 23:00:00,9.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Puerto_Deseado,7
1229,San Pedro CL,sanp,,-47.704,-74.866,Chile,SXCH40,Servicio Hidrográfico y Oceanográfico de la Armada ( Chile ),,4.61,-down-,103d,5',2017-06-23 16:02:50,-down-,10080.0,0.0,-down-,,0.0,0.0,1',,5',San Pedro CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1229
157,DART Southeast of Hobart,dhta,,-46.922,160.562,Australia,web,,,-999.0,-down-,5818d,6h,2023-02-28 15:55:28,-down-,672.0,0.0,-down-,,0.0,0.0,15',,6h,DART Southeast of Hobart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157
3119,Marion Island,mais,20,-46.867,37.867,South-Africa,SXXX32,Hartebeesthoek Radio Astronomy Observatory ( South Africa ) +GeoForschungsZentrum ( Germany ),16AF741C,0.01,10:10,18',15',2007-09-14 10:57:00,9765,10080.0,97.0,18434,41760.0,44.0,100.0,1',8',15',Marion Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3119
153,DART ESE of Hobart,dta2,,-46.665,161.001,Australia,web,National Tidal Centre/Australian Bureau of Meteorology ( Australia ),55042,-999.0,-down-,3931d,6h,2023-02-28 15:55:29,-down-,672.0,0.0,-down-,2784.0,0.0,0.0,15',34',6h,DART ESE of Hobart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153
2770,Bluff,,,-46.6,168.35,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,072A,,,,,,,,,,,,,,,bluff-072a-nzl-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, 1997\u2013present  Land Information New Zealand  New Zealand; 1984\u20131988  Royal New Zealand Navy  Hydrographic Office  New Zealand ,Unspecified,Unspecified,Unspecified,1984-10-01 00:00:00,2018-12-31 10:00:00,27.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Bluff,2770
1625,Ile_Possession_Crozet,,,-46.42567627,51.8628605,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,,,,,,,,,,,,,ile_possession_crozet-173-fra-refmar,REFMAR,Réseaux de référence des observations marégraphiques (Reference networks for tidal observations),http://refmar.shom.fr/en,refmar@shom.fr,Réseaux de référence des observations marégraphiques (Reference networks for tidal observations),http://refmar.shom.fr/en,refmar@shom.fr,Unspecified,1995-11-19 00:00:00,1997-02-16 23:00:00,3.0,0.0,Zero Hydrographique,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Ile_Possession_Crozet,1625
2816,Puysegur Welcome Bay,puyt,,-46.085,166.589,New Zealand,SZNZ01,Land Information New Zealand ( New Zealand ),PUYT,6.69,10:24,4',3',2010-01-15 11:41:00,10073,10080.0,100.0,39368,41760.0,94.0,100.0,1',4',3',Puysegur Welcome Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2816
2777,Port_Chalmers,,,-45.817,170.65,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669A,,,,,,,,,,,,,,,port_chalmers-669a-nzl-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Land Information New Zealand  New Zealand ,Unspecified,Unspecified,Unspecified,1985-06-11 03:00:00,2018-12-31 11:00:00,27.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Port_Chalmers,2777
1216,Puerto Chacabuco CL,pcha,,-45.467,-72.82,Chile,SXCH40,Servicio Hidrográfico y Oceanográfico de la Armada ( Chile ) +Servicio Hidrográfico y Oceanográfico de la Armada ( Chile ),ADC020D2,5.41,10:23,5',5',2008-07-02 12:56:00,8920,10080.0,88.0,35732,41760.0,86.0,83.0,1',4',5',Puerto Chacabuco CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1216
1213,Puerto Aguire CL,pagi2,,-45.162,-73.527,Chile,web,Servicio Hidrográfico y Oceanográfico de la Armada ( Chile ),,6.37,10:23,5',10',2021-05-12 07:52:50,10070,10080.0,100.0,41582,41760.0,100.0,100.0,1',3',10',Puerto Aguire CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213
2781,Timaru,,,-44.383,171.25,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665A,,,,,,,,,,,,,,,timaru-665a-nzl-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Land Information New Zealand  New Zealand ,Unspecified,Unspecified,Unspecified,1987-03-01 22:00:00,2018-12-31 11:00:00,25.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Timaru,2781
2813,"Owenga, Chatham Island",chit,,-44.025,-176.369,New Zealand,SZNZ01,Land Information New Zealand ( New Zealand ),CHIT,2.9,10:24,4',3',2009-01-13 13:04:00,10073,10080.0,100.0,39368,41760.0,94.0,100.0,1',4',3',"Owenga, Chatham Island",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2813
2771,Jackson,,,-43.983,168.617,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403A,,,,,,,,,,,,,,,jackson-403a-nzl-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia ,Unspecified,Unspecified,Unspecified,1999-01-01 00:00:00,2012-01-01 07:00:00,14.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Jackson,2771
2772,Jackson_Bay,,,-43.9728,168.6156,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65180,,,,,,,,,,,,,,,jackson_bay-65180-nzl-bom,BOM,Bureau of Meteorology,http://www.bom.gov.au/oceanography/projects/ntc/monthly/,tides@bom.gov.au,Australian Bureau of Meteorology and New Zealand National Institute of Water and Atmospheric Research,http://www.bom.gov.au/oceanography/projects/ntc/monthly/,tides@bom.gov.au,GDA,1996-07-06 01:00:00,2019-12-31 23:00:00,23.0,0.0,Chart Datum / Lowest Astronomical Tide,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Jackson_Bay,2772
2819,"Waitangi,Chatham NZ",wait,128,-43.946,-176.561,New Zealand,SEPS40,Pacific Tsunami Warning Center ( USA ),9321E2EC,-999.0,-down-,2942d,1h,2008-06-16 07:37:00,-down-,5040.0,0.0,-down-,,0.0,0.0,2',,1h,"Waitangi,Chatham NZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2819
1218,Puerto Melinka CL,pmel,,-43.898,-73.748,Chile,SXCH40,Servicio Hidrográfico y Oceanográfico de la Armada ( Chile ) +Servicio Hidrográfico y Oceanográfico de la Armada ( Chile ),14000FDE,3.96,10:24,4',5',2011-06-03 15:21:03,9775,10080.0,97.0,40615,41760.0,97.0,97.0,1',4',5',Puerto Melinka CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1218
2773,Lyttelton,,,-43.6,172.717,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667A,,,,,,,,,,,,,,,lyttelton-667a-nzl-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Land Information New Zealand  New Zealand ,Unspecified,Unspecified,Unspecified,1994-05-24 05:00:00,2018-12-31 11:00:00,25.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Lyttelton,2773
2800,Christchurch,sumt,,-43.57,172.773,New Zealand,SZNZ01,Land Information New Zealand ( New Zealand ) +GNS Science ( New Zealand ),SUMT,-999.0,-down-,705d,3',2010-09-08 11:55:54,-down-,10080.0,0.0,-down-,,0.0,0.0,1',,3',Christchurch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800
2811,"New Brighton Pier, Christchurch",nbrt,,-43.506,172.735,New Zealand,SZNZ01,Land Information New Zealand ( New Zealand ),NBRT,4.76,10:24,4',3',2022-04-04 09:22:12,10073,10080.0,100.0,39368,41760.0,94.0,100.0,1',4',3',"New Brighton Pier, Christchurch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2811
172,Southport Jetty AU,spjy,,-43.433,146.975,Australia,SZAU01,National Tidal Centre/Australian Bureau of Meteorology ( Australia ),61240,0.85,10:23,5',3',2019-03-20 23:34:28,10047,10080.0,100.0,41565,41760.0,100.0,100.0,1',3',3',Southport Jetty AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172
63,Hobart,,,-42.877,147.342,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339A,,,,,,,,,,,,,,,hobart-339a-aus-uhslc,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia ,Unspecified,Unspecified,Unspecified,1985-03-29 08:00:00,2018-12-31 23:00:00,32.0,0.0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,Hobart,63
